City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
261,kristiansund,63.1115,7.732,0.36,74,3,2.57,NO,1698631767
262,poso,-1.3959,120.7524,31.1,56,42,2.3,ID,1698631772
263,gouyave,12.1646,-61.7296,27.29,80,100,4.8,GD,1698631773
264,konarka,19.9,86.1167,22.22,71,9,3.09,IN,1698631773
265,kingaroy,-26.5333,151.8333,29.07,23,0,2.31,AU,1698631774
266,owo,7.1962,5.5868,23.2,94,100,1.31,NG,1698631774
267,gelnica,48.8558,20.9371,13.04,86,99,2.98,SK,1698631775
268,malmberget,67.1753,20.6549,-16.69,85,40,2.57,SE,1698631775
269,qacha's nek,-30.1154,28.6894,-1.88,84,44,1.25,LS,1698631765
270,abepura,-2.6333,140.5833,26.45,83,20,3.09,ID,1698631646
271,salinas,36.6777,-121.6555,20.05,45,0,3.6,US,1698631570
272,padang,-0.9492,100.3543,27.03,75,99,0.93,ID,1698631776
273,leland,34.2563,-78.0447,21.01,89,0,2.57,US,1698631665
274,san martin,-33.081,-68.4681,27.3,37,25,5.71,AR,1698631540
275,nordborg,55.0573,9.7408,11.94,87,75,4.63,DK,1698631777
276,judenburg,47.1667,14.6667,9.64,97,100,2.47,AT,1698631777
277,santa cruz,-17.8,-63.1667,25.7,83,75,8.23,BO,1698631778
278,sitka,57.0531,-135.33,6.94,70,75,0.0,US,1698631778
279,hoemul-li,41.4339,129.67,15.33,46,55,1.58,KP,1698631778
280,la'ie,21.6477,-157.9253,30.98,68,23,1.79,US,1698631779
281,abqaiq,25.9371,49.6776,22.16,75,74,1.14,SA,1698631779
282,kudahuvadhoo,2.6708,72.8944,27.83,71,85,5.89,MV,1698631779
283,quartu sant'elena,39.2419,9.1839,23.33,78,0,5.14,IT,1698631780
284,rio branco,-9.9747,-67.81,23.34,100,75,0.0,BR,1698631780
285,erseke,40.3378,20.6789,10.31,67,0,1.48,AL,1698631781
286,kyzyl-mazhalyk,51.1333,90.6,-5.05,42,100,0.89,RU,1698631781
287,mo i rana,66.3128,14.1428,-4.74,86,100,3.6,NO,1698631781
288,xiaoshan,30.1675,120.2588,21.92,68,0,0.0,CN,1698631749
289,trat,12.5,102.5,26.45,88,99,1.54,TH,1698631782
290,fada,9.5667,8.3,21.66,39,99,1.82,NG,1698631783
291,tinghir,31.5157,-5.5343,18.15,48,100,5.59,MA,1698631783
292,hithadhoo,-0.6,73.0833,27.14,79,29,7.46,MV,1698631783
